avg_T107,size,coordx,coordy,Label_id,batch_label,batch_label_color
2.804838180541992,44.0,17.08745002746582,21.641263961791992,0,1,#1f77b4
3.87185001373291,18.0,-33.677520751953125,-20.2723388671875,1,3,#aec7e8
1.732324242591858,43.0,45.20522689819336,-12.80332088470459,2,0,#ff7f0e
3.603910207748413,41.0,-24.131826400756836,42.91423034667969,3,3,#aec7e8
4.437396049499512,26.0,-71.93616485595703,9.3851318359375,4,4,#ffbb78
3.7907402515411377,16.0,-0.6959446668624878,-16.891216278076172,5,3,#aec7e8
2.116720676422119,27.0,56.140846252441406,12.795625686645508,6,0,#ff7f0e
5.270022392272949,16.0,-13.691466331481934,-42.91062927246094,7,4,#ffbb78
4.603238582611084,53.0,-67.82881927490234,-32.61252212524414,8,4,#ffbb78
3.2092578411102295,19.0,1.2301212549209595,1.165680170059204,9,2,#2ca02c
4.057520866394043,30.0,-48.65638732910156,27.78543472290039,10,3,#aec7e8
2.3196840286254883,11.0,38.02171325683594,12.439042091369629,11,1,#1f77b4
4.704525470733643,60.0,-37.330387115478516,-2.594456195831299,12,4,#ffbb78
1.1136088371276855,25.0,49.47356033325195,-30.73961639404297,13,0,#ff7f0e
5.340973854064941,23.0,-62.22642517089844,-10.211748123168945,14,4,#ffbb78
3.1794772148132324,41.0,-3.7783937454223633,12.606973648071289,15,2,#2ca02c
2.279406785964966,26.0,24.53462028503418,-8.54263687133789,16,1,#1f77b4
4.618296146392822,51.0,-34.87879943847656,-45.40813064575195,17,4,#ffbb78
5.3042073249816895,44.0,0.49684762954711914,-59.98399353027344,18,4,#ffbb78
2.4482219219207764,31.0,37.889469146728516,31.333162307739258,19,1,#1f77b4
3.640191078186035,36.0,-12.375917434692383,58.50571060180664,20,3,#aec7e8
3.487091541290283,37.0,-12.688605308532715,34.685997009277344,21,2,#2ca02c
3.6231751441955566,40.0,-13.790435791015625,-7.779116153717041,22,3,#aec7e8
4.280240535736084,26.0,-17.325895309448242,-29.25855827331543,23,4,#ffbb78
2.6814732551574707,28.0,17.194965362548828,11.707883834838867,24,1,#1f77b4
4.256330490112305,30.0,-49.0938606262207,-13.443366050720215,25,3,#aec7e8
4.327550888061523,33.0,-57.326900482177734,15.656645774841309,26,4,#ffbb78
2.15702223777771,30.0,34.95676803588867,-2.291818857192993,27,1,#1f77b4
1.8302067518234253,35.0,51.60688781738281,5.468968868255615,28,0,#ff7f0e
2.5328640937805176,31.0,24.50014877319336,13.930558204650879,29,1,#1f77b4
3.2467963695526123,41.0,-9.77238941192627,6.746236801147461,30,2,#2ca02c
4.873383522033691,34.0,-33.03240966796875,-31.66040802001953,31,4,#ffbb78
1.6216648817062378,19.0,35.32623291015625,-20.909082412719727,32,0,#ff7f0e
2.147019624710083,29.0,50.3372688293457,27.7302303314209,33,1,#1f77b4
2.8404479026794434,32.0,15.827140808105469,-20.892858505249023,34,2,#2ca02c
5.117550373077393,38.0,-43.28215026855469,-31.618009567260742,35,4,#ffbb78
3.69624924659729,65.0,-42.444183349609375,31.118741989135742,36,3,#aec7e8
3.4050955772399902,40.0,-5.356687545776367,-3.4708030223846436,37,2,#2ca02c
2.4133243560791016,41.0,35.55513000488281,23.875818252563477,38,1,#1f77b4
2.4084157943725586,16.0,30.111804962158203,7.468242168426514,39,1,#1f77b4
4.672846794128418,17.0,-40.874267578125,10.670145034790039,40,4,#ffbb78
3.570753574371338,23.0,-23.2930908203125,-3.6404144763946533,41,2,#2ca02c
1.9008166790008545,40.0,45.522945404052734,-0.9626975059509277,42,0,#ff7f0e
1.0352307558059692,25.0,45.5416259765625,-31.11455535888672,43,0,#ff7f0e
1.6953045129776,36.0,50.35744094848633,-8.215989112854004,44,0,#ff7f0e
